stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
170545,Cranbrook Exch,49.51234,-115.76486,0,170545
970000,Cranbrook Transit Centre,49.51693,-115.76711,0,970000
170409,Cranbrook Walmart,49.53033,-115.75085,0,170409
170500,Kootenay & 3 St N,49.51493,-115.76349,0,170500
170502,Kootenay & 4 St N,49.51621,-115.76193,0,170502
170504,Kootenay & 7 St N,49.5181,-115.75967,0,170504
170506,Kootenay & 8 St N,49.51958,-115.75785,0,170506
170509,Kootenay & Victoria,49.52106,-115.75433,0,170509
170427,21 Av N & Kootenay,49.52153,-115.75204,0,170427
170428,12 St N & 21 Av N,49.5228,-115.75162,0,170428
170429,Tamarack Mall,49.52432,-115.74972,0,170429
170538,12 St N & 23A Av N,49.52278,-115.74858,0,170538
170413,Kootenay & 12 St N,49.5233,-115.74485,0,170413
170411,Willowbrook & Kootenay,49.52505,-115.74489,0,170411
170540,Willowbrook & Kokanee,49.52711,-115.74514,0,170540
170407,Willowbrook & Kokanee,49.52763,-115.74608,0,170407
170405,Kokanee at Kelowna Cres S,49.52783,-115.74514,0,170405
170426,21 Av N & Kootenay,49.52142,-115.75219,0,170426
170424,6 St N & Victoria,49.51741,-115.75287,0,170424
170422,2122 6 St N,49.51743,-115.75073,0,170422
170418,24 Av N & 8 St N,49.51912,-115.74787,0,170418
170416,Kootenay & 24 Av N,49.52108,-115.74717,0,170416
172005,4th St at 10th Ave,50.50999,-116.03123,0,172005
172006,10th Ave at 9th St (Hospital),50.5066,-116.03225,0,172006
172007,13th St at 7th Ave,50.50337,-116.02763,0,172007
172008,7th Ave at 9th St,50.50633,-116.02892,0,172008
172004,Laurier St at Third Ave,50.51498,-116.02359,0,172004
172000,Shaughnessy St at Burns Ave,50.1552,-115.82031,0,172000
172001,Shaughnessy St at Alder Ave,50.15745,-115.82132,0,172001
172002,Beatty Ave at Tamarack St,50.16009,-115.81808,0,172002
172003,Dunn St at Stevens Ave,50.15872,-115.81171,0,172003
170021,Michel Rd at Fording Dr,50.02486,-114.92316,0,170021
174005,Ponderosa & Pinyon,49.74662,-114.89419,0,174005
174004,Industrial Rd 1 & Michel Creek,49.74284,-114.87066,0,174004
170013,Aspen Dr at 100 Block,49.73447,-114.8749,0,170013
174003,Greenwood Mall,49.73232,-114.88506,0,174003
170012,Sparwood Leisure Centre,49.7336,-114.89634,0,170012
170010,Sparwood Health Ctr,49.72129,-114.89327,0,170010
174001,Elk Valley Hospital,49.51355,-115.05648,0,174001
170008,6th Ave at 12th St,49.51062,-115.06061,0,170008
170004,2nd Ave at 8th St,49.50545,-115.05947,0,170004
170005,2nd Ave at 5th St,49.50319,-115.06163,0,170005
174002,4th St & 3rd Ave - COTR,49.50319,-115.06435,0,174002
174000,6th Ave at 8th St,49.50728,-115.06359,0,174000
170007,6th Ave at 12th St,49.51048,-115.06036,0,170007
170403,Kokanee at Kelowna Cres N,49.52907,-115.74341,0,170403
170401,Kokanee Place,49.53008,-115.74224,0,170401
170402,Kokanee Cres N,49.53053,-115.74049,0,170402
170404,30 Av N & Kokanee,49.53028,-115.73925,0,170404
170408,30 Av N & Eagle Ridge,49.52769,-115.73931,0,170408
170412,30 Av N & Mt Fisher,49.52603,-115.73937,0,170412
170414,Kootenay & 12 St N,49.52312,-115.74508,0,170414
170415,Kootenay & 24 Av N,49.52115,-115.74741,0,170415
170417,24 Av N & 8 St N,49.51912,-115.74807,0,170417
170420,24 Av N & 7 St N,49.51796,-115.74808,0,170420
170421,6 St N & 23 Av N,49.51753,-115.74933,0,170421
170423,6 St N & Victoria,49.51751,-115.75273,0,170423
170508,Kootenay & 18A Av N,49.52116,-115.75558,0,170508
170505,Kootenay & 8 St N,49.51927,-115.75857,0,170505
170503,Kootenay & 7 St N,49.51795,-115.75995,0,170503
170501,Kootenay & 4 St N,49.51628,-115.76205,0,170501
170499,Kootenay & 3 St N (SB),49.51487,-115.76373,0,170499
170530,12 St N & Kokanee,49.52321,-115.74679,0,170530
170437,1 St S & 14 Av S,49.51024,-115.76234,0,170437
170433,1 St S & 15 Av S,49.51023,-115.76112,0,170433
170438,1 St S & 17 Av S,49.51021,-115.75876,0,170438
170439,17 Av N & Baker,49.51261,-115.75778,0,170439
170440,2 St N & 17 Av N,49.51384,-115.75702,0,170440
170443,2 St N & 21 Av N,49.51383,-115.75073,0,170443
170190,College of the Rockies,49.51708,-115.74306,0,170190
170528,College & Kinsmen Park,49.51559,-115.74667,0,170528
170444,2 St N & 24 Av N,49.51392,-115.74835,0,170444
170442,2 St N & 21 Av N,49.51388,-115.7514,0,170442
170441,2 St N & Victoria,49.51389,-115.75457,0,170441
170445,17 Av N & 2 St N,49.51335,-115.75787,0,170445
170535,17 Av S & Baker,49.51186,-115.75792,0,170535
170191,E Kootenay Hospital,49.51194,-115.74946,0,170191
170517,1 St S & 17 Av S,49.5103,-115.75888,0,170517
170516,1 St S & 14 Av S,49.51033,-115.76261,0,170516
170184,1 St S & 11 Av S,49.51033,-115.76584,0,170184
170446,14 Av S & 2 St S,49.50918,-115.76227,0,170446
170536,2 St S & 15 Av S,49.50839,-115.76031,0,170536
170448,2 St S & 17 Av S,49.50836,-115.7575,0,170448
170463,2 St S & 20 Av S,49.50838,-115.75337,0,170463
170524,2 St S & Victoria,49.50833,-115.74996,0,170524
170525,2 St S & 24 Av S,49.50835,-115.7472,0,170525
170526,27 Av S & 2 St S,49.50794,-115.74406,0,170526
170467,27 Av S & 3 St S,49.50615,-115.74389,0,170467
170470,27 Av S & 4 St S,49.50467,-115.74394,0,170470
170472,27 Av S & 7 St S,49.50246,-115.74392,0,170472
170473,7 St S & 28 Av S,49.50186,-115.74198,0,170473
170474,30 Av S & 7 St S,49.50219,-115.73907,0,170474
170471,30 Av S & 4 St S,49.5047,-115.73901,0,170471
170469,3 St S & 30 Av S,49.50643,-115.73972,0,170469
170434,1 St S & 8 Av S,49.51035,-115.77088,0,170434
170435,7 Av S & 1 St S,49.50971,-115.77188,0,170435
170488,3 St S & 5 Av S,49.50677,-115.77504,0,170488
170489,3 Av S & 3 St S,49.50642,-115.77742,0,170489
170533,3 Av S & 4 St S,49.50515,-115.77747,0,170533
