route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
7-EKT,2089,2279493:2885671:5790467,7th / 11th Aves - Downtown - via Larch,3663,5790467,0
1-EKT,1803,2267744:2885686:5790251,Tamarack - to Walmart - via 6th St,3670,5790251,1
3-EKT,2087,2279426:2885699:5790286,3rd Ave - Downtown - via Innes,3205,5790286,1
3-EKT,2089,2279426:2885699:5790474,3rd Ave - Downtown - via Innes,3205,5790474,1
14-EKT,1803,2267746:2885729:5790493,14th Ave - Downtown - 10th & Victoria,3782,5790493,1
7-EKT,2086,2279430:2885736:5790366,7th / 11th Aves - Downtown - via Larch,3663,5790366,0
1-EKT,2396,2267822:2885766:5790417,Tamarack - to Downtown via Kokanee,3203,5790417,0
32-EKT,2086,2279570:2885785:5790422,North Connector,3757,5790422,1
14-EKT,2087,2279415:2885793:5790286,14th Ave - Downtown - 10th & Victoria,3782,5790286,1
14-EKT,2089,2279415:2885793:5790474,14th Ave - Downtown - 10th & Victoria,3782,5790474,1
1-EKT,2396,2267819:2885797:5790417,Tamarack - to Walmart - via 6th St,3670,5790417,1
7-EKT,1803,2267798:2885804:5790329,7th / 11th Aves - Downtown - via Larch,3663,5790329,0
1-EKT,2396,2267865:2885829:5790417,Tamarack - to Walmart - via 6th St,3670,5790417,1
7-EKT,2086,2279533:2885852:5790405,7th / 11th Aves - Downtown - via Larch,3663,5790405,0
1-EKT,2396,2267863:2885853:5790417,Tamarack - to Walmart - via 6th St,3670,5790417,1
3-EKT,2396,2267869:2885865:5790417,3rd Ave - Downtown - via Innes,3205,5790417,1
5-EKT,1803,2267752:2885879:5790493,College - Downtown - via Hospital,4037,5790493,0
1-EKT,2086,2279531:2885890:5790405,Tamarack - to Downtown via Kokanee,3203,5790405,0
1-EKT,2396,2267861:2885938:5790450,Tamarack - to Walmart - via 6th St,3670,5790450,1
5-EKT,2086,2279501:2886008:5790243,College - Downtown - via Hospital,4037,5790243,0
32-EKT,2086,2279581:2886016:5790499,North Connector,3757,5790499,1
1-EKT,2086,2279448:2886075:5790243,Tamarack - to Downtown via Kokanee,3203,5790243,0
3-EKT,2086,2279542:2886116:5790405,3rd Ave - Downtown - via Innes,3205,5790405,1
3-EKT,2089,2279505:2886117:5790474,3rd Ave - Downtown - via Innes,3205,5790474,1
1-EKT,1803,2267758:2886128:5790251,Tamarack - to Walmart - via 6th St,3670,5790251,1
7-EKT,1803,2267722:2886172:5790493,7th / 11th Aves - Downtown - via Larch,3663,5790493,0
7-EKT,1803,2267794:2886247:5790464,7th / 11th Aves - Downtown - via Larch,3663,5790464,0
32-EKT,2086,2279568:2886268:5790422,North Connector,3209,5790422,0
14-EKT,1803,2267767:2886294:5790464,14th Ave - Downtown - 10th & Victoria,3782,5790464,1
1-EKT,2086,2279447:2886314:5790366,Tamarack - to Walmart - via 6th St,3670,5790366,1
