stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding,stop_code
110113,Park at 6th St,49.1512,-123.94393,0,110113
110114,Park at Honey,49.1496,-123.94391,0,110114
110115,Park at 7th St,49.14681,-123.94395,0,110115
110116,Park at Murray,49.14433,-123.94398,0,110116
110368,Village at Hollywood,49.34971,-124.40909,0,110368
110369,Island Hwy W 1990 block,49.34997,-124.40314,0,110369
110388,Jensen Ave E at McCarter,49.3182,-124.31071,0,110388
110389,Jensen Ave E at Weld,49.31816,-124.30789,0,110389
110394,Island Hwy E at Mills,49.31871,-124.30076,0,110394
110395,Island Hwy E 510 block,49.31767,-124.29638,0,110395
110372,Sunrise at Chartwell,49.34614,-124.39365,0,110372
110373,Sunrise at Sutton,49.3455,-124.38828,0,110373
109925,Woodgrove Centre Ex Bay D,49.23638,-124.05263,0,109925
110512,Country Club Exch Bay E,49.20666,-124.00366,0,110512
110418,Island Hwy N at Capilano,49.25114,-124.13249,0,110418
110300,Mary Ellen 6690 block,49.23946,-124.05465,0,110300
109883,Brechin at Estevan,49.19038,-123.96329,0,109883
109802,Country Club Exch Bay H,49.20664,-124.00305,0,109802
109756,Arbot at Westwood,49.16668,-123.9965,0,109756
109757,Arbot at Fountain Gate,49.16675,-124.00144,0,109757
109758,Arbot at South View,49.16677,-124.00353,0,109758
109759,Mill at Westberry,49.16856,-124.00931,0,109759
109760,Ashlee at Mill,49.17024,-124.00926,0,109760
109761,Ashlee at Towerview,49.17015,-124.00269,0,109761
109762,Ashlee at Holland,49.17016,-123.99953,0,109762
110358,Jones at Fern Rd W,49.34589,-124.45012,0,110358
110359,Jones at Fifth Ave W,49.34411,-124.4492,0,110359
104130,Jones at Rupert Rd W,49.33965,-124.44915,0,104130
104131,Arbutus at McRae Plc,49.34198,-124.46183,0,104131
104132,Chestnut at 797 Block,49.34368,-124.46213,0,104132
104133,Arbutus at Birch Ave.,49.3466,-124.46382,0,104133
104134,Arbutus at First Ave W,49.34861,-124.46378,0,104134
104135,Arbutus at Harlech Rd,49.35144,-124.46374,0,104135
104136,Crescent Rd at Arbutus,49.3532,-124.46334,0,104136
104137,Crescent Rd W at Alder,49.35256,-124.45858,0,104137
104139,Crescent Rd W at Beach,49.35249,-124.44861,0,104139
104140,Crescent Rd W at Memorial,49.35246,-124.44377,0,104140
104141,Island Hwy W at 2711 Blk,49.35578,-124.44116,0,104141
104142,Isl Hwy W at 2831 Isl Hwy,49.35439,-124.4486,0,104142
104143,Island Hwy W ACR Bay St,49.35403,-124.45314,0,104143
104144,Isl Hwy W at 3108 Isl Hwy,49.35591,-124.46403,0,104144
104145,Isl Hwy W at Crescent W,49.35856,-124.46801,0,104145
104146,Island Hwy W ACR Beach Dr,49.35957,-124.47034,0,104146
109927,Island Hwy N 6900 block,49.23864,-124.05223,0,109927
109932,Hammond Bay at Marlin,49.23429,-124.04199,0,109932
109933,Hammond Bay at Calinda,49.2342,-124.03889,0,109933
109934,Hammond Bay at Uplands,49.23414,-124.03665,0,109934
109935,Hammond Bay at Turner,49.2341,-124.02854,0,109935
109956,Hammond Bay at Dep Bay,49.20696,-123.96961,0,109956
109957,Departure Bay at Bay,49.20568,-123.97007,0,109957
