route_id,service_id,trip_id,trip_headsign,shape_id,block_id,direction_id
7-NAN,2015,3552563:3858807:3871146,Cinnabar,11939,3871146,1
20-NAN,2015,3552256:3858811:3870626,A Dover to Downtown,11995,3870626,0
7-NAN,2021,3554262:3858815:3871081,Cinnabar,12023,3871081,1
50-NAN,2022,3555218:3858818:4058310,Woodgrove,11936,4058310,1
20-NAN,2015,3552231:3858823:3881686,A Dover to Country Club,12128,3881686,0
5-NAN,2021,3554155:3858832:3918188,Fairview to Westwood,11921,3918188,1
5-NAN,2015,3552125:3858840:3918124,Fairview to Westwood,11921,3918124,1
40-NAN,2015,3552310:3858845:4058319,VIU Express to Downtown,11937,4058319,0
1-NAN,2021,3554364:3858859:4058422,Downtown,12142,4058422,0
20-NAN,2022,3555182:3858871:3871024,A Dover to Woodgrove,11954,3871024,1
20-NAN,2015,3552108:3858877:3907117,Hammond Bay to Woodgrove,11983,3907117,1
91-NAN,2021,3554050:3858883:3871090,Intercity to Woodgrove,11940,3871090,0
7-NAN,2022,3555155:3858884:4058347,Downtown,12126,4058347,0
70-NAN,2021,3554513:3858897:3870748,NCX to Duncan,12069,3870748,1
8-NAN,2022,3555358:3858900:4058353,VIU to Cedar,12051,4058353,1
11-NAN,2021,3554498:3858922:3871129,Lantzville,11977,3871129,0
92-NAN,2018,3552008:3858930:3870635,Sorry... Not in Service,12062,3870635,0
50-NAN,2015,3552488:3858933:3870672,Downtown,12053,3870672,0
15-NAN,2015,3552451:3858935:3918336,Woodgrove via Parkway,11933,3918336,1
40-NAN,2015,3552391:3858944:3870740,VIU Express to Woodgrove,12107,3870740,1
15-NAN,2021,3554497:3858949:3907422,Woodgrove via Parkway,11933,3907422,1
40-NAN,2021,3554433:3858952:3918188,VIU Express to Downtown,11937,3918188,0
20-NAN,2021,3554133:3858959:3870891,Hammond Bay to Woodgrove,11983,3870891,1
97-NAN,2015,3552016:3858986:3870856,Eaglecrest,12114,3870856,1
8-NAN,2022,3555371:3858987:3870831,Cedar to VIU,12039,3870831,0
1-NAN,2022,3555232:3858991:3870971,Country Club,11960,3870971,1
97-NAN,2015,3552019:3858994:3870856,Eaglecrest,12114,3870856,1
11-NAN,2021,3554463:3858999:3918115,Lantzville,12047,3918115,1
88-NAN,2021,3554095:3859000:3871127,Parksville,12070,3871127,0
99-NAN,2021,3554082:3859031:3871036,Deep Bay to Qualicum Beach,12131,3871036,0
1-NAN,2015,3552198:3859033:3907305,Downtown,12142,3907305,0
7-NAN,2015,3552576:3859037:3870822,Cinnabar,12023,3870822,1
7-NAN,2015,3552592:3859051:3881290,Cinnabar,11939,3881290,1
8-NAN,2023,3552529:3859064:3881224,VIU to Cedar,12051,3881224,1
8-NAN,2016,3552529:3859064:3881423,VIU to Cedar,12051,3881423,1
50-NAN,2021,3554281:3859076:3870727,Woodgrove,11936,3870727,1
40-NAN,2015,3552362:3859085:3871017,VIU Express to Downtown,11937,3871017,0
50-NAN,2015,3552111:3859088:3870786,Downtown,12053,3870786,0
1-NAN,2015,3552184:3859099:3907453,Country Club,11960,3907453,1
91-NAN,2015,3552026:3859103:3881435,Intercity to Qualicum Beach,12136,3881435,1
1-NAN,2015,3552172:3859113:3870683,Downtown,12142,3870683,0
40-NAN,2021,3554440:3859120:4058351,VIU Express to Downtown,11937,4058351,0
5-NAN,2021,3554167:3859121:3918115,Fairview to Westwood,11921,3918115,1
1-NAN,2022,3555282:3859126:3907318,Downtown,12142,3907318,0
40-NAN,2022,3555329:3859150:4058403,VIU Express to Downtown,11937,4058403,0
7-NAN,2015,3552570:3859152:3870672,Cinnabar,12023,3870672,1
40-NAN,2022,3555293:3859176:3871011,VIU Express to Woodgrove,12107,3871011,1
40-NAN,2015,3552411:3859182:3870605,VIU Express to Woodgrove,12107,3870605,1
50-NAN,2022,3555205:3859198:3870878,Downtown,12053,3870878,0
1-NAN,2015,3552197:3859209:3907359,Country Club,11960,3907359,1
91-NAN,2015,3552007:3859218:3871159,Intercity to Woodgrove,11928,3871159,0
